table_name,field_name,dtype,missing_values,unique_values
pelanggan,pelanggan_id,int64,0,105
pelanggan,nama,object,0,103
pelanggan,email,object,0,105
pelanggan,alamat,object,0,105
pelanggan,kota,object,0,31
pelanggan,provinsi,object,0,21
pelanggan,no_hp,int64,0,105
orders,order_id,int64,0,226
orders,pelanggan_id,int64,0,105
orders,tanggal,object,0,226
orders,total,float64,0,83
orders,status,object,0,4
detil_order,detil_id,int64,0,420
detil_order,order_id,int64,0,210
detil_order,produk_id,int64,0,103
detil_order,jumlah,int64,0,5
detil_order,subtotal,float64,0,116
produk,produk_id,int64,0,115
produk,nama_produk,object,0,115
produk,kategori,object,0,6
produk,harga,float64,0,55
produk,stok,int64,0,44
